village,municipality,state,inali_endonym_ort,inali_endonym_ipa,inali_name
Acatlán de Osorio,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Acatlán I (Fovissste),Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Amatitlán de Azueta,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Barrio de Guadalupe,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Colonia Allende,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
El Chaparro,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Garzones (Santa Gertrudis),Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Hermenegildo Galeana,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
La Huerta,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
La Trinidad (Los Hobos),Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Las Nieves,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Nuevos Horizontes,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
Piedra Blanca,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
San Bernardo,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
San Cristóbal,Acatlán,Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðẽʔẽ ðau],mixteco del suroeste de Puebla
