Doculect	Grapheme	IPA	Class	Status	Comments
ayut11	y	j	consonant		
ayut11	x	ʃ	consonant		
ayut11	z	θ	consonant		
ayut11	c	k	consonant		like Spanish
ayut11	nd	ⁿd	consonant		like Spanish
ayut11	ng	ᵑg	consonant	rare	like Spanish
ayut11	l	l	consonant		like Spanish
ayut11	m	m	consonant		like Spanish
ayut11	n	n	consonant		like Spanish
ayut11	ñ	ɲ	consonant		like Spanish
ayut11	p	p	consonant	rare	like Spanish
ayut11	qu	k	consonant	rare	like Spanish
ayut11	r	ɾ	consonant	rare	like Spanish
ayut11	s	s	consonant		like Spanish
ayut11	t	t	consonant		like Spanish
ayut11	v	β	consonant		like Spanish
ayut11	y	j	consonant		like Spanish
ayut11	cu	kʷ	consonant		before vowels
ayut11	h	x	consonant		just described as spirant, not totally sure
ayut11	hʷ	xʷ	consonant	rare	just described as spirant, not totally sure
ayut11	ʔ	ʔ	consonant		
ayut11	v	β	consonant		described as a semivowel, but other sources on Ayutla strongly suggest it's a fricative
ayut11	3	1	tone		
ayut11	2	3	tone		
ayut11	1	5	tone		
ayut11	a	a	vowel		
ayut11	a̢	ã	vowel		
ayut11	e	e	vowel		
ayut11	e̢	ẽ	vowel	rare	
ayut11	i	i	vowel		
ayut11	i̢	ĩ	vowel		
ayut11	o	o	vowel		
ayut11	u	u	vowel		
ayut11	u̢	ũ	vowel		
