Grapheme	IPA	Class	Status	Comments
ᵽ	f	consonant	loan	
x	ʃ	consonant		
z	θ	consonant		
c	k	consonant		like Spanish
nd	ⁿd	consonant		like Spanish
ng	ᵑg	consonant		like Spanish
l	l	consonant		like Spanish
m	m	consonant		like Spanish
n	n	consonant		like Spanish
ñ	ɲ	consonant		like Spanish
p	p	consonant		like Spanish
qu	k	consonant		like Spanish
r	ɾ	consonant		like Spanish
s	s	consonant		like Spanish
t	t	consonant		like Spanish
v	β	consonant		like Spanish
y	j	consonant		like Spanish
cu	kʷ	consonant		before vowels
č	t͡ʃ	consonant		
h	x	consonant	loan	
ʔ	ʔ	consonant		analyzed as a vowel feature
w	β	consonant		w in unstressed syllables
à	a1	vowel and tone		
à̢	ã1	vowel and tone		
ā	a3	vowel and tone		
ā̢	ã3	vowel and tone		
á	a5	vowel and tone		
á̢	ã5	vowel and tone		
è	e1	vowel and tone		
è̢	ẽ1	vowel and tone		
ē	e3	vowel and tone		
ē̢	ẽ3	vowel and tone		
é	e5	vowel and tone		
é̢	ẽ5	vowel and tone		
ì	i1	vowel and tone		
ì̢	ĩ1	vowel and tone		
ī	i3	vowel and tone		
ī̢	ĩ3	vowel and tone		
í	i5	vowel and tone		
í̢	ĩ5	vowel and tone		
ò	o1	vowel and tone		
ò̢	õ1	vowel and tone		
ō	o3	vowel and tone		
ō̢	õ3	vowel and tone		
ó	o5	vowel and tone		
ó̢	õ5	vowel and tone		
ù	u1	vowel and tone		
ù̢	ũ1	vowel and tone		
ū	u3	vowel and tone		
ū̢	ũ3	vowel and tone		
ú	u5	vowel and tone		
ú̢	ũ5	vowel and tone		
