Grapheme	IPA	Class	Status	Comments
ð	ð	consonant		
k	k	consonant		
kʷ	kʷ	consonant		
l	l	consonant		
m	m	consonant		
n	n	consonant		
nd	ⁿd	consonant		analyzed as cluster
ñ	ɲ	consonant		
r	ɾ	consonant		
s	s	consonant		
š	ʂ	consonant		
t	t	consonant		
č	t͡ʃ	consonant		
h	x	consonant		
hʷ	xʷ	consonant		
ž	ʒ	consonant		
ʔ	ʔ	consonant		
β	β	consonant		
a	a	vowel		
a̢	ã	vowel		
e	e	vowel		
e̢	ẽ	vowel		
i	i	vowel		
i̢	ĩ	vowel		
ɨ	ɨ	vowel		
ɨ̢	ɨ̃	vowel		
o	o	vowel		
o̢	õ	vowel		
u	u	vowel		
u̢	ũ	vowel		
à	a1	vowel and tone		
à̢	ã1	vowel and tone		
á	a5	vowel and tone		
á̢	ã5	vowel and tone		
è	e1	vowel and tone		
è̢	ẽ1	vowel and tone		
é	e5	vowel and tone		
é̢	ẽ5	vowel and tone		
ì	i1	vowel and tone		
ì̢	ĩ1	vowel and tone		
í	i5	vowel and tone		
í̢	ĩ5	vowel and tone		
ɨ̀	ɨ1	vowel and tone		
ɨ̢̀	ɨ̃1	vowel and tone		
ɨ́	ɨ5	vowel and tone		
ɨ̢́	ɨ̃5	vowel and tone		
ò	o1	vowel and tone		
ò̢	õ1	vowel and tone		
ó	o5	vowel and tone		
ó̢	õ5	vowel and tone		
ù	u1	vowel and tone		
ù̢	ũ1	vowel and tone		
ú	u5	vowel and tone		
ú̢	ũ5	vowel and tone		
