Grapheme	IPA	Class	Status	Comments
d	ð	consonant		
x	ʃ	consonant	loan	
z	θ	consonant	loan	best guess
c	k	consonant		like Spanish
nd	ⁿd	consonant		like Spanish
ng	ᵑg	consonant		like Spanish
l	l	consonant		like Spanish
m	m	consonant		like Spanish
n	n	consonant		like Spanish
ñ	ɲ	consonant		like Spanish
p	p	consonant		like Spanish
qu	k	consonant		like Spanish
r	ɾ	consonant		like Spanish
s	s	consonant		like Spanish
t	t	consonant	loan	like Spanish
v	β	consonant		like Spanish
y	j	consonant		like Spanish
cu	kʷ	consonant		before vowels
t	t	consonant		tn before nasal vowels
č	t͡ʃ	consonant		
ž	ʒ	consonant		
ʔ	ʔ	consonant		
b	β	consonant		
à	a1	vowel and tone		
à̢	ã1	vowel and tone		
àà̢	ã1ã1	vowel and tone		
àa̢	ã1ã3	vowel and tone		
àă̢	ã1ã4	vowel and tone		
àá̢	ã1ã5	vowel and tone		
a	a3	vowel and tone		
a̢	ã3	vowel and tone		
aà̢	ã3̃a1	vowel and tone		
aa̢	ã3̃a3	vowel and tone		
aă̢	ã3̃a4	vowel and tone		
aá̢	ã3̃a5	vowel and tone		
ă	a4	vowel and tone		
ă̢	ã4	vowel and tone		
ăà̢	ã4ã1	vowel and tone		
ăa̢	ã4ã3	vowel and tone		
ăă̢	ã4ã4	vowel and tone		
ăá̢	ã4ã5	vowel and tone		
á	a5	vowel and tone		
á̢	ã5	vowel and tone		
áà̢	ã5ã1	vowel and tone		
áa̢	ã5ã3	vowel and tone		
áă̢	ã5ã4	vowel and tone		
áá̢	ã5ã5	vowel and tone		
è	e1	vowel and tone		
è̢	ẽ1	vowel and tone		
èè̢	ẽ1ẽ1	vowel and tone		
èe̢	ẽ1ẽ3	vowel and tone		
èĕ̢	ẽ1ẽ4	vowel and tone		
èé̢	ẽ1ẽ5	vowel and tone		
e	e3	vowel and tone		
e̢	ẽ3	vowel and tone		
eè̢	ẽ3̃ẽ1	vowel and tone		
ee̢	ẽ3̃ẽ3	vowel and tone		
eĕ̢	ẽ3̃ẽ4	vowel and tone		
eé̢	ẽ3̃ẽ5	vowel and tone		
ĕ	e4	vowel and tone		
ĕ̢	ẽ4	vowel and tone		
ĕè̢	ẽ4ẽ1	vowel and tone		
ĕe̢	ẽ4ẽ3	vowel and tone		
ĕĕ̢	ẽ4ẽ4	vowel and tone		
ĕé̢	ẽ4ẽ5	vowel and tone		
é	e5	vowel and tone		
é̢	ẽ5	vowel and tone		
éè̢	ẽ5ẽ1	vowel and tone		
ée̢	ẽ5ẽ3	vowel and tone		
éĕ̢	ẽ5ẽ4	vowel and tone		
éé̢	ẽ5ẽ5	vowel and tone		
ì	i1	vowel and tone		
ì̢	ĩ1	vowel and tone		
ìì̢	ĩ1ĩ1	vowel and tone		
ìi̢	ĩ1ĩ3	vowel and tone		
ìĭ̢	ĩ1ĩ4	vowel and tone		
ìí̢	ĩ1ĩ5	vowel and tone		
i	i3	vowel and tone		
i̢	ĩ3	vowel and tone		
iì̢	ĩ3ĩ1	vowel and tone		
ii̢	ĩ3ĩ3	vowel and tone		
iĭ̢	ĩ3ĩ4	vowel and tone		
ií̢	ĩ3ĩ5	vowel and tone		
ĭ	i4	vowel and tone		
ĭ̢	ĩ4	vowel and tone		
ĭì̢	ĩ4ĩ1	vowel and tone		
ĭi̢	ĩ4ĩ3	vowel and tone		
ĭĭ̢	ĩ4ĩ4	vowel and tone		
ĭí̢	ĩ4ĩ5	vowel and tone		
í	i5	vowel and tone		
í̢	ĩ5	vowel and tone		
íì̢	ĩ5ĩ1	vowel and tone		
íi̢	ĩ5ĩ3	vowel and tone		
íĭ̢	ĩ5ĩ4	vowel and tone		
