Grapheme	IPA	Class	Status	Comments
p	p	consonant	loan	
x	ʃ	consonant		phonetically t̪
z	θ	consonant		unit
c	k	consonant		like Spanish
nd	ⁿd	consonant		like Spanish
ng	ᵑg	consonant		like Spanish
l	l	consonant		like Spanish
m	m	consonant		like Spanish
n	n	consonant		like Spanish
ñ	ɲ	consonant		like Spanish
p	p	consonant		like Spanish
qu	k	consonant	rare	like Spanish
r	ɾ	consonant		like Spanish
s	s	consonant	rare	like Spanish
t	t	consonant		like Spanish
v	β	consonant		like Spanish
y	j	consonant	rare	like Spanish
cu	kʷ	consonant		before vowels
ɣ	ɣ	consonant	loan	
č	tʃ͡	consonant		
nč	ⁿd͡ʒ	consonant	rare	
l	l	consonant		
w	w	consonant	rare	very rare, two words only
a	a3	vowel and tone		
e	e3	vowel and tone		free variation ɛ
i	i3	vowel and tone		free variation ɪ
ɨ	ɨ3	vowel and tone		
o	o3	vowel and tone		free variation ɔ
u	u3	vowel and tone		
à	a1	vowel and tone		
è	e1	vowel and tone		
ì	i1	vowel and tone		
ɨ̀	ɨ1	vowel and tone		
ò	o1	vowel and tone		
ù	u1	vowel and tone		
á	a5	vowel and tone		
é	e5	vowel and tone		
í	i5	vowel and tone		
ɨ́	ɨ5	vowel and tone		
ó	o5	vowel and tone		
ú	u5	vowel and tone		
ã	ã3	vowel and tone		
ẽ	ẽ3	vowel and tone		
ĩ	ĩ3	vowel and tone		
ɨ̃	ɨ̃3	vowel and tone		
õ	õ3	vowel and tone		
ũ	ũ3	vowel and tone		
ã̀	ã1	vowel and tone		
ẽ̀	ẽ1	vowel and tone		
ĩ̀	ĩ1	vowel and tone		
ɨ̃̀	ɨ̃1	vowel and tone		
õ̀	õ1	vowel and tone		
ũ̀	ũ1	vowel and tone		
ã́	ã5	vowel and tone		
ẽ́	ẽ5	vowel and tone		
ĩ́	ĩ5	vowel and tone		
ɨ̃̀́	ɨ̃5	vowel and tone		
ṍ	õ5	vowel and tone		
ṹ	ũ5	vowel and tone		
