ID	DOCULECT	CONCEPT	FORM	IDlist	NOTES
1	ocot11	madre	nana	1	NA
2	ocot11	mamá!	ma	2	not sure, but example suggests so
3	ocot11	padre	tata	3	NA
4	ocot11	papá!	paa	4	NA
5	ocot11	hijo	se’e	6	NA
6	ocot11	hija	sesi’i	7	NA
7	ocot11	hermana/hermano de otro genero	kua’à	8	NA
8	ocot11	hermano de hombre	ñani	9	NA
9	ocot11	hermana de mujer	ku’u	10	NA
10	ocot11	tía	xixi	11	NA
11	ocot11	tío	xito	12	NA
12	ocot11	hombre	chàa	13	NA
13	ocot11	mujer	ñà’an	14	NA
14	ocot11	dueño	sto’o	15	NA
15	ocot11	sacerdote	sutu	16	NA
16	ocot11	sangre	niì	17	NA
17	ocot11	pelo	ixi	19	NA
18	ocot11	cara	nùù	20	NA
19	ocot11	lengua	yaá	21	NA
20	ocot11	diente	nu’u	22	NA
21	ocot11	boca	yu’u	23	NA
22	ocot11	oreja	so’o	24	NA
23	ocot11	nariz	xichi	25	NA
24	ocot11	cuello	sukú	26	NA
25	ocot11	mano	nta’á	27	NA
26	ocot11	espalda	sata	29	NA
27	ocot11	pie	tsa’a	32	NA
28	ocot11	enfermedad	kue’é	33	NA
29	ocot11	grano	nti’í	36	NA
30	ocot11	tela, ropa	sa’ma	39	NA
31	ocot11	huarache	ntsítsa	40	NA
32	ocot11	pantalón	tsatu	41	NA
33	ocot11	pueblo	ñuu	43	NA
34	ocot11	casa	ve’e	44	NA
35	ocot11	camino	ichi	45	NA
36	ocot11	horcón	si’ìn	46	NA
37	ocot11	petate	yuvi	47	NA
38	ocot11	cama, lecho	tsíto	48	NA
39	ocot11	silla	chai	49	NA
40	ocot11	animal	kiti	50	NA
41	ocot11	pájaro	saa	51	NA
42	ocot11	pez, pescado	chaká	52	NA
43	ocot11	víbora	kòò	53	NA
44	ocot11	rana	sa’va	54	NA
45	ocot11	gavilán	xi’an	55	NA
46	ocot11	abeja	ñuñu	59	NA
47	ocot11	ratón, rata	ti’in	60	NA
48	ocot11	venado	isu	61	NA
49	ocot11	ardilla	ntikuain	62	NA
50	ocot11	tlacuache	tsoko	64	NA
51	ocot11	mapache	ma’àn	65	NA
52	ocot11	perro	tina	68	NA
53	ocot11	gato	vilu	69	NA
54	ocot11	gallo	to’lo	70	NA
55	ocot11	gallina	chata	71	NA
56	ocot11	marrano, puerco, cerdo	kìni	72	NA
