IDlist,CONCEPT,FORM,ID,,NOTES,DOCULECT,
1,mother,sihīn,743,744,,ayut11,
2,"mother!, mom!",nanāa,744,745,"sentence final form, no other one given",ayut11,
3,father,yuvāh,745,746,,ayut11,
4,"father!, dad!",tātā,746,747,,ayut11,
5,father,yuhvāh,747,748,,ayut11,
6,"son/daughter, child",sīhe,748,749,,ayut11,
7,son,$,,1,,ayut11,
8,daughter,$,,1,,ayut11,
9,cross-sex sibling,kuhva,749,750,,ayut11,
10,brother of man,n̄ani,750,751,,ayut11,
11,sister of woman,$,,1,,ayut11,
12,aunt,shishi,751,752,,ayut11,
10,uncle,shito,752,753,,ayut11,
11,man,tyāa,753,754,,ayut11,
12,woman,ñahāh,754,755,,ayut11,
13,"owner, boss",$,,1,,ayut11,
14,priest,sūtu,755,756,,ayut11,
15,blood,$,,1,,ayut11,
16,bone,ikīh,756,757,,ayut11,
17,hair,ishīh,757,758,,ayut11,
18,face,nūuh,758,759,,ayut11,
19,tongue,$,,1,,ayut11,
20,tooth,nuhu,759,760,,ayut11,
21,mouth,yuhūh,760,761,,ayut11,
22,ear,soho,761,762,,ayut11,
23,nose,$,,1,,ayut11,
24,neck,sīkih,762,763,,ayut11,
25,hand,ndahāh,763,764,,ayut11,
26,fingernail,$,,1,,ayut11,
27,back,shātah,764,765,,ayut11,
28,stomach,tishin,765,766,,ayut11,
29,intestine,shiti,766,767,,ayut11,
30,foot,shāhan,767,768,,ayut11,
31,"disease, illness, sickness",kwīhe,768,769,,ayut11,
32,"medicine, remedy",tātanh,769,770,,ayut11,
33,swelling,$,,1,,ayut11,
34,pimple,$,,1,,ayut11,
35,pus,$,,1,,ayut11,
36,urine,$,,1,,ayut11,
37,tortilla cloth,sahmāh,770,771,,ayut11,
37,cloth,tōto,771,772,,ayut11,
38,"sandal, sandals",$,,1,,ayut11,
39,pants,$,,1,,ayut11,
40,"blouse, woven blouse",$,,1,,ayut11,
41,"village, town",ñuu,772,773,,ayut11,
42,house,vihe,773,774,,ayut11,
43,path,ichīh,774,775,,ayut11,
44,post,nduyu,775,776,,ayut11,
45,palm mat,yivih,776,777,,ayut11,
46,bed,$,,1,,ayut11,
47,chair,tēi,777,778,,ayut11,
48,animal,kitīh,778,779,,ayut11,
49,bird,saa,779,780,,ayut11,
50,fish,t-yakāh,780,781,,ayut11,
51,snake,kōoh,781,782,,ayut11,
52,frog,$,,1,,ayut11,
53,hawk,$,,1,,ayut11,
54,scorpion,ti-sūhma,782,783,,ayut11,
55,cockroach,$,,1,,ayut11,
56,grasshopper,$,,1,,ayut11,
57,bee,$,,1,,ayut11,
58,"mouse, rat",$,,1,,ayut11,
59,deer,isu,783,784,,ayut11,
60,squirrel,$,,1,,ayut11,
61,skunk,$,,1,,ayut11,
62,(o)possum,$,,1,,ayut11,
63,raccoon,ti-māhá,784,785,,ayut11,
64,rabbit,iso,785,786,,ayut11,
65,vulture,$,,1,,ayut11,
66,dog,nāyah,786,787,,ayut11,
67,cat,mīshtūn,787,788,,ayut11,
68,rooster,$,,1,,ayut11,
69,hen,ndushīh,788,789,,ayut11,
70,pig,kīni,789,790,,ayut11,
71,horse,kwēī,790,791,from Sp. caballo,ayut11,
72,sheep,$,,1,,ayut11,
73,black ant,si-ndōkoh,791,792,,ayut11,
74,horn (anatomy),ndikīh,792,793,,ayut11,
75,feather,$,,1,,ayut11,
76,wing,$,,1,,ayut11,
77,tail,sūhmah,793,794,,ayut11,
78,tree,itūnh,794,795,,ayut11,
79,herb,$,,1,,ayut11,
80,grass,itya,795,796,,ayut11,
81,flower,$,,1,,ayut11,
82,"maguey, century plant",$,,1,,ayut11,
83,root,tyoho,796,797,,ayut11,
84,thorn,in̄uh,797,798,,ayut11,
85,corn kernel,nūnih,798,799,,ayut11,
86,"cornfield, corn plant",itu,799,800,"corn plant, but in ex. translated as cornfield",ayut11,
87,fresh ear of corn,niih,800,801,,ayut11,
88,nixtamal,$,,1,,ayut11,
89,"corn dough, tortilla dough",ishānh,801,802,,ayut11,
90,tortilla,shītah,802,803,,ayut11,
91,"cleared field, cornstalk",$,,1,,ayut11,
