Verb,VerbClass,Description
acaó*,vi,se está quemando Aca?** hue'%e. Se está quemando la casa.
aca?,vi,gotea Aca? ducua!. Mi casagotea.
ache'?,vi,"caminamos achij?* hue'e'? crecemos bien, nos desarrollamosbien [huete?]"
achin?,vi,le hace falta
achrin'?,vi,tosemos [achrinj?]
ago!?,vi,"gritamos, clamamos 1. (gente) Aguaj? gui xana?. Ella estágritando. 2. (rayo) Aguaj? dutui?. El rayotruena. [aguaj?]"
an?,vi,"1. ahorcar Ani? sij? xia! dugúi'?* sij$, Está ahorcando a sucompañero.2. exprimir Ani? gui? xana' atsij5i. Ella exprime la ropa.3. tener hambre Ani? riqui*?.Tenemos hambre."
ani,vi,truena Ani! bete?. Truena elcohete.
atuj?,vi,"entra Véase ne'""* atuj? gúi?"
axini'5,vi,estamos borrachos
ayanji*,vi,"1. tira Ayanj?* sij? nne**,Está tirando agua.2. sangra Ayanj** tun? sij?. Estásangrando.3. suda Ayanj?** nia sij8. Estásudando."
ayu,vi,1. da Ayu?* chruj? ra?! chrun?. El árbol está dando fruta.2. cae Ayu?! tue'e. Cae hielo.
ati,vi,le duele (casi siempre se refiereal estómago)
a'mi'*!,yi,hablamos [a'mi**]
a'ngaji*,vi,le duele
a'nij?,vi,le duele mucho Duguaj? sij?
da*'ngo'?,vt,lo vamos a repartir[da'nga'?3*]
da'ui'?,vr,lo debemos [da'ui?]
di*gahuin'?,y:,1. lo vamos a obedecer2. lo vamos a cumplir [digahuin?]
di“gahui'?,vr,"lo vamos a matar, lovamos a asesinar [digahui!?*]"
digaman'?*,vr,salpica
ditgamun'?,yr,"lo vamos a regar, rociar,esparcir [digaman'?*]"
diga'mi'?**,yr,lo aconsejamos mal[diga'mi**]
ditgatmun'?,yt,vamos a calentar (elagua) [diga'man*]
di*guityun'?,vt,lo vamos a estudiar[digui'yun??]
ditgui'?,ví,"lo vamos a meter, introducir(en una abertura) [diguij?]"
ditgun'?,vt,"1. lo vamos a enseñar,mostrar, educar2. lo vamos a señalar3. lo vamos a orientar4. lo vamos a guiar [digan?]) Dihue Zaragoza (pueblo)"
dittin'?,vz,lo vamos a pellizcar [ditin!]
do*go'?,vt,1. lo vamos a bajar (cosacargada sobre el hombro)2. vamos a agacharnos Dugua!'** nitu*sij? man'an* sij?. El se agacha.3. vamos a bajar la lumbre Dugua'*acuan!'* doj? yan'an*. Baje un pocola lumbre. [dugua'**]
do“goto!?*,vt,vamos a darle de beber[dogo!o?*]
drun'?,vf,lo regañamos [dran!**]
ducu'9*,y;,"jugamos, nos divertimos[ducu*!] Duchi? Ocotepec [pueblo]"
dudo'o'*,vt,lo vamos a compararDudo'o'* ngúej' sit danj?. Comparamos a los dos hombres (paraver si son iguales de estatura). [duda'aj**]
du*guache'?,ví,lo vamos a hacercaminar [duguache!]
du*guachin'?,ys,1. lo vamos a pasar2. lo vamos a aprobar Gan'anj*duguachin*? sij?. Lo encaminamos. [duguachin?*]
du*guane'?*,yr,lo vamos a bañar[duguane?*]
du*guane'**,yr,"lo vamos a hacer caer,tumbar [duguane?*!]"
duguanico!?,yr,"vamos a hacerlo darvuelta, girar [duguanicaj']"
du*guani'?,vt,lo vamos a tronar[duguani*]
du*guanu'?*,yt,lo vamos a ponerencima Duguanu'** ni'yaj? rian**chra?. Ponemos salsa encima de lastortillas. [duguanu**]
dutguato'?*,yt,lo vamos a poner adormir [duguatoj?*]
du*guatu'?,vf,lo vamos a meter (comoen la casa) [duguatuj?]
du*gua'ngo'?,vt,lo vamos a hacer reír[dugua'nga'**]
