NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ADD_CONCEPT
1	corn	maíz en grano	506	MAIZE	
2	cornfield	milpa	449	CORN FIELD	
3	sun	sol	1343	SUN	
4	moon	luna	1313	MOON	
5	water	agua	948	WATER	
6	bean(s)	frijol(es)	832	BEAN	
7	fire	lumbre, fuego	221	FIRE	
8	tortilla	tortilla			TORTILLA
9	wood	madera	1803	WOOD	
10	Mixtec	mixteco			MIXTECO
11	ant	hormiga	587	ANT	
12	bird	pájaro	937	BIRD	
13	egg	blanquillo, huevo	744	EGG	
14	fish	pez, pescado	227	FISH	
15	leaf	hoja de árbol	628	LEAF	
16	dirt	tierra	25	DIRT	
17	lightning	rayo, relámpago	1654	LIGHTNING	
18	word	palabra	1599	WORD	
19	century plant	maguey			MAGUEY
20	night	noche	1233	NIGHT	
21	ash	ceniza	646	ASH	
22	chili pepper	chile	919	CHILI PEPPER	
23	rain	lluvia	658	RAIN (PRECIPITATION)	
24	salt	sal	1274	SALT	
25	house	casa	1252	HOUSE	
26	squash	calabaza	864	PUMPKIN	
27	louse	piojo	1392	LOUSE	
28	rock	piedra	857	STONE	
29	snake	culebra, serpiente	730	SNAKE	
30	smoke	humo	778	SMOKE (EXHAUST)	
31	tomato	tomate	986	TOMATO	
32	seed	semilla	714	SEED	
33	meat, flesh	carne	2615	FLESH OR MEAT	
34	mountain	cerro	2118	MOUNTAIN OR HILL	
35	star	estrella	1430	STAR	
36	root	raíz	670	ROOT	
37	quern	metate			METATE
38	sand	arena	671	SAND	
39	flower	flor	239	FLOWER	
40	village	pueblo	930	VILLAGE	
41	air	aire	27	AIR	
42	person	gente	683	PERSON	
43	griddle	comal			COMAL
44	rope	mecate	1218	ROPE	
45	frog	rana	503	FROG	
46	jaguar, tiger	tigre			TIGRE O JAGUAR
47	pot	olla	1462	POT	
48	vine	bejuco, liana	343	VINE	
49	thorn	espina	124	THORN	
50	charcoal	carbón	1188	CHARCOAL	
51	bed	cama, lecho	1663	BED	
52	bag	bolsa	2468	BAG	
53	mouse	ratón	2139	MUROID (MOUSE OR RAT)	
54	spider	araña	843	SPIDER	
55	day, date	día, fecha	1260	DAY (24 HOURS)	
56	(quick)lime	cal	2540	LIME (MATERIAL)	
57	fresh ear of corn 	elote			ELOTE
58	mirror	espejo	1171	MIRROR	
59	dog	perro	2009	DOG	
60	toad	sapo	894	TOAD	
61	scorpion	alacrán	1538	SCORPION	
62	sky	cielo	1732	SKY	
63	festival	fiesta	131	FESTIVAL	
64	sleeping mat	petate	195	MAT	
65	path	camino	2457	PATH OR ROAD	
66	animal	animal	619	ANIMAL	
67	vulture	zopilote	1185	VULTURE	
68	cloud	nube	1489	CLOUD	
69	corncob	olote			OLOTE
70	bat	murciélago	1793	BAT	
71	corn dough	masa			MASA
72	bee	abeja	665	BEE	
73	deer	venado	1936	DEER	
74	grasshopper	chapulín	607	GRASSHOPPER	
75	earthquake	temblor	6	EARTHQUAKE	
76	cayman	lagarto	2438	CAIMAN	
77	river	río	3311	FLOWING BODY OF WATER	
78	(o)possum	tlacuache	309	OPOSSUM	
79	sugar cane	caña	146	SUGAR CANE	
80	broom	escoba	245	BROOM	
81	avocado	aguacate	3725	AVOCADO	
82	comb	peine	1475	COMB	
83	net, mesh	rede,red	2963	NET	
84	flour	harina	1594	FLOUR	
85	pimple, rash	grano	1809	PIMPLE	
86	grass	zacate, pasto	606	GRASS	
87	metal	fierro	2244	METAL	
88	paper	papel	648	PAPER	
89	honey	miel	942	HONEY	
90	maguey fiber	ixtle, fibra de maguey			IXTLE
91	tuber, sweet potato	camote	159	SWEET POTATO	
92	armadillo	armadillo	1885	ARMADILLO	
93	pus	pus, materia	1808	PUS	
94	crab	cangrejo	2348	CRAB	
95	wax	cera	1931	BEESWAX	
96	fox	zorro, zorra	1312	FOX	
97	money	dinero	1559	MONEY	
98	light	luz	630	LIGHT (RADIATION)	
