LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V001_kaxa'an,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,ɕi5 ⇌ ka3 / _X*[g-k-p-t-ð-ʔ-kʷ][a-ã]3,i1ɕi1 ⇌ ka3 / _X*[-syll][-highV][3-5]
V002_kaka,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,ɕi5 ⇌ ka3 / _X*[g-k-p-t-ð-ʔ-kʷ][a-ã]3,i1ɕi1 ⇌ ka3 / _X*[-syll][-highV][3-5]
V003_kuunsavi,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V004_ka'an,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V005_kusi,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,i5ʃ ⇌ o1s / k_i1,i1_i_ʃ ⇌ _o_s / _k_1_i1
V006_txiin,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V007_koso,_5 ⇌ i1ɕi1_3 / _[+cons -syll -cg -strid -lat -long][a-e-i-o]_[-lat][-cons +son][3-5]?,ⁿd͡ʑi5 ⇌ ko3 / _so3,i1ɕi1ⁿd͡ʑi ⇌ ko / _3so3
V008_ka'ntxa,_5_5 ⇌ i1_3_3 / _X*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[-lat]+_,ɕ_5_5 ⇌ k_3_3 / _[a-e]_[-strid -lat -long]+_,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5]
V009_kikin,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V010_kuntxati,_5 ⇌ i1ɕi1_3 / _[+cons -syll -cg -strid -lat -long][a-e-i-o]_[-lat][-cons +son][3-5]?,_5 ⇌ ko3_3 / _[+cons -syll -cg -strid -lat -long][a-e-o]_[-strid -lat -del.rel -long]X[-cons +son]?3?,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5]
V011_ntxiko,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V012_ntaka'vi,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V013_kaki,_5_5 ⇌ i1_3_3 / _X*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[-lat]+_,ɕ_5_5 ⇌ k_3_3 / _[a-e]_[-strid -lat -long]+_,i1ɕ ⇌ k / _X*[-cons +son][-syll]*[a-e-i-o][1-3-5]
V014_kana,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V015_kaki,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V016_txivi,_5_5 ⇌ i1_3_3 / _X*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][a-e-i-ã-ĩ-ẽ]_[-lat]+_,5_5 ⇌ 3_3 / [+cons -son -syll -cg -lat -long][a-e-i-ã-ĩ-ẽ]_X+_,i1 ⇌  / _X*[+syll][1-3-5]
V017_ntixan,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V018_kayi,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V019_kuaki,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,ɕ_5 ⇌ kʷ_1 / _[a-e-i]_[k-ɕ-t͡ɕ-kʷ][a-e-i][1-3],i1ɕ ⇌ kʷ / _[a-e-i][1-3][-syll -strid -lat -long]*[a-e-i-o][1-3]
V020_kusiki,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,si5 ⇌ ko3 / _X*[f-k-p-s-t-ɕ-ʃ-t͡ɕ-t͡ʃ-kʷ][e-i-o][3-5],i1si ⇌ ko / _3si5ki5
V021_lala,_5_5 ⇌ i1_1_3 / _[l-r-t-ð-ɕ-ɾ-ʒ-t͡ɕ]a_[l-r-t-ð-ɕ-ɾ-ʒ-t͡ɕ]a_,5_5 ⇌ 1_3 / [l-r-t-ð-ɕ-ɾ-ʒ-t͡ɕ]a_[l-r-t-ð-ɕ-ɾ-ʒ-t͡ɕ]a_,i1 ⇌  / _X*[+syll][1-3-5]
V022_kasha,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V023_sayo'va, ⇌ i1 / _X*, ⇌  / X*[+syll][1-3-5],i1 ⇌  / _X*[+syll][1-3-5]
V024_yi'i,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,5 ⇌ 3 / [+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,i1 ⇌  / _X*[+syll][1-3-5]
V025_kitxi,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,5 ⇌ 1 / [+cons -syll -cg -lat -long]?[+syll]_[-lat]X+5?,i1 ⇌  / _X*[+syll][1-3-5]
V026_kuati,_5 ⇌ i1_3 / _[+cons -syll -cg -lat -long][+syll]_[-lat]X+[-cons]*,ɕ_5 ⇌ kʷ_3 / _[a-e-i]_[g-k-p-t-ð-ʔ-kʷ][a-e-i-m-n-o-r-w-ã-õ-ĩ-ɲ-ẽ][-cons +son]3?,i1ɕ ⇌ kʷ / _[a-e-i][1-3][-syll -strid -lat -long]*[a-e-i-o][1-3]
V027_kakan,_5 ⇌ i1_1 / _[+cons -syll -cg -lat -long]?[+syll]_[-lat]X+,ɕi5 ⇌ ka1 / _kã1,i1ɕi ⇌ ka / _[1-3][k-p-t-kʷ][a-ã][1-3]
