Index,Verb.IMPF,VerbClass,Spanish,Example,Verb.IRR,Verb.PFV
1,"ahúhva yo, ahúhva iñi y0",vi,bostezamos,"Tatu xaan yu, maa maa ña tsa ahuhvá ii yu nyaá yu ihya. Estoy muy cansado, por eso estoy bostezando aquí.",cua ahuhva iñi yo,ahuhvá iñi yo
2,cáá yó 1. ví parecemos Ndivi can caá ti cuhva caá ndivi jana yu. Ese pollo se parece mucho al mío.  2.,vc,"parecemos, estamos",Ndasi caá vehe can. Esa casa está muy fea.,cuá cáa yo,"cáa yo  caa (caa) s 1. el metal, la cosa de metal lin xuhun pesu maa caa cuví tsi. Una moneda de a peso es de puro metal. 2. la campana Tun tsa cua coo misa vehe ñuhu, nañí caa. La campana suena cuando se hace misa en la iglesia. 3. la hora Tuvi ñi nduvita yu caa iñu tan natihvi yu nuquehe. Me levanté tempranito, a las seis, y barrí el patio. 4. la cubeta Cundaha yu caa cuahán yu yutya. Voy al río, y llevo la cubeta."
3,caahán yo,vt,hablamos,Cahan tsihin ra ican tatu ña cuñí ra jaha tyiñu ra tsihin yu ityaan. Habla con él a ver si quiere trabajar conmigo mañana.,cua cahán yo,cáhán yo
4,caahán ndaahví yo,vt,rogamos,Cahan ndaahvi yo tsihin ra tu ña javaha ra tumañi iñi tsi yo naquihin ra ndoho yo. Le rogamos que nos haga el favor de cargar nuestros adobes.,cuá cahán ndááhvi yo,cáhan ndaáhvi yo
5,caahán nyaa yó,vt,"insultamos, hablamos mal, criticamos",Rahnu ican caahán nyaa tsi inga rahnu can tyin nduve jahma vaha ra. Ese señor insulta al otro señor porque no tiene ropa buena.,cuá càhàn nyàà yo,cáhán nyáá yo
6,caahán savi,vi,está tronando,"Tsa cuún savi tan vatsí tatyi, ñihi  xaan  caahán Cuando llueve y viene el viento, truena muy fuerte.",cuá cahán sávi,cáhán sávi
7,caahán vaha yo,vt,NA,"hablamos mixteco, decimos en mixteco, hablamos en el dialecto —¿Nacaa cahan vaha yo “perro”? —“*Ina” catyí yo. —(¿Cómo se dice *“*perro”” en mixteco? —Decimos ““ina”.",cua cahán vaha yo,cáhán vaha yo  tuhun cahan vaha s el idioma mixteco
8,caahán yuhu yo,vt,importunamos,"Caahán yuhu xaan yo tsihin ña can tu tsatyin maa ñi nducú nuu yo xuhun tsi ña. Si nada más le pedimos prestado dinero a la señora, la importunamos mucho.",cua cáhán yuhu yo,"cahán yuhu yo caahndí tsi (caahndí tsi) vi se revienta, explota Nihi xaan cahndi nañi jaha ra yucú vehe ñuhu. Los que están en la iglesia hicieron que los cohetes explotaran muy fuerte hace ratito. [cuá cahndi tsi, cahndi tsi]"
8,"caahán yuhu yo vt importunamos Caahán yuhu xaan yo tsihin ña can tu tsatyin maa ñi nducú nuu yo xuhun tsi ña. Si nada más le pedimos prestado dinero a la señora, la importunamos mucho. [cua cáhán yuhu yo, cahán yuhu yo] caahndí tsi (caahndí tsi)",vi,"se revienta, explota",Nihi xaan cahndi nañi jaha ra yucú vehe ñuhu. Los que están en la iglesia hicieron que los cohetes explotaran muy fuerte hace ratito.,cuá cahndi tsi,cahndi tsi
9,cáán tí,vt,muerde (hasta que sale sangre),Ina caan tsi ra tan tsati xaan niñi tsaha ra. El perro lo mordió y le salió mucha sangre del pie.,cuá cáán ti,cáán ti)
