,code(s),citekey,title,gl_author,gl_year,med_type,topic,gl_med_type,gl_language_note,gl_pages_int
,tepo12,alvarado1593vocabulario,Vocabulario en lengua misteca,"de Alvarado, Francisco",1593,dictionary,,phonology_or_text,Mainly Teposcolula perhaps Diuxi-Tilantongo Mixtec [xtd],456
,gran11,dyk1951vocabulario,Vocabulario mixteco de San Miguel el Grande,"Dyk, Anne and Stoudt, Betty",1951,dictionary,,phonology_or_text,San Miguel El Grande Mixtec [mig],132
unavailable,ocot11,,Concordancia del idioma mixteco de Ocotepec,Instituto Lingüístico de Verano,1966,dictionary,,wordlist_or_less,"Ocotepec Mixtec [mie] (computerized assignment from ""ocotepec"")",
unavailable,atat11,,Concordancia del idioma mixteco de Atatlahuca,Instituto Lingüístico de Verano,1972,dictionary,,wordlist_or_less,"Atatláhuca Mixtec [mib] (computerized assignment from ""atatlahuca"")",
,chay11,pensinger1974diccionario,"Diccionario mixteco-español, español-mixteco (Mixteco del este de Jamiltepec, Pueblo de Chayuco)","Pensinger, Brenda J.",1974,dictionary,,phonology_or_text,Chayuco Mixtec [mih],171
,colo11,campbell1986diccionario,Diccionario mixteco de San Juan Colorado,"Johnson, Audrey F. and Lorenzo C., Filiberto and Stark, Sharon",1986,dictionary,,grammar_sketch,San Juan Colorado Mixtec [mjc],221
,yoso11,farris2012diccionario,"Diccionario básico del mixteco de Yosondúa, Oaxaca","Farris, Kathryn",2002,dictionary,,phonology_or_text,Yosondúa Mixtec [mpm],
,yuta13,,"Diccionario mixteco de San Andrés Yutatio, Tezoatlán, Oaxaca, volumen 1: A-M","Williams, Judith and Torres Benavides, Liborio and Ojeda M., Gerardo",2003,dictionary,,phonology_or_text,Tezoatlán Mixtec [mxb],
,ayut11,campos2004diccionario,Diccionario lulu ña̱ sanyaˀá xiinˀ nya̱nya̱,,2004,dictionary,,phonology_or_text,Ayutla Mixtec [miy],
,xoch11,,"Diccionario básico del mixteco de Xochapa, Guerrero","Johnson, Audrey F. and González de Guzmán, Benita and Stark, Sharon",2006,dictionary,,phonology_or_text,Alcozauca Mixtec [xta],
,abas11,galindo-sanchez2009vocabulario,Vocabulario Básico Tu'un Savi-Castellano,"Galindo Sánchez, Bernardo",2009,dictionary,,phonology_or_text,"Considerando los resultados de la investigación del grupo mixteco de Abasolo del Valle-Municipio de Playa Vicente-estado de Veracruz se afirma que fue en la década de los treinta en que ocurrió la migración de algunos mixtecos originarios de San Juan Mixtepec-Distrito de Santiago Juxtlahuaca-Oaxaca-en búsqueda de mejores condiciones de vida. Uno de esos grupos arribó al estado de Veracruz en el municipio de Córdoba donde se emplearon en la zafra (Galindo Sánchez, B. 2009) = Mixtepec Mixtec [mix]",112
