ID	Village_Name	Village_Name_Alternative	Family	Subgroup	Municipality	State	Latitude	Longitude	ISO639P3code	Glottocode	Glottolog_Name	Glottolog_Level	Glottolog_Super	Glottolog_Subgroup	Glottolog_Latitude	Glottolog_Longitude	josserand_group	Josserand_Subgroup	Josserand_Code	Inali_Subgroup	Inali_Endonym_Ort	Inali_Endonym_Ipa	Egland_Name	Egland_Perc	Egland_Level	Egland_Super	Mtree_Name	Mtree_Code	Mtree_Codealt	Mtree_Latitude	Mtree_Longitude	Mtree_Comments	Coordinate_Comparison	CLDF_Name	Village_Name_Normalized	Comments
abas11	Abasolo del Valle		Mixtec	Mixtepec	Playa Vicente	Veracruz	17.78287	-95.54381	mix	mixt1425																								AbasoloValleMixtec		
acat11	Santa María Acatepec		Mixtec	Coast	Villa de Tututepec de Melchor Ocampo	Oaxaca	16.76337	-97.98945	mtu	sant1441	Santa María Acatepec	dialect	tutu1243				Coast	Acatepec	acat	mixteco de Villa de Tututepec	tu’un savi	[tũʔũ saβi]	Acatepec	87	dialect	Tututepec								SantaMariaAcatepecMixtec	santa maria acatepec	
achi11	San Miguel Achiutla		Mixtec	Western Alta	San Miguel Achiutla	Oaxaca	17.3065	-97.48886	xtm	sanm1292	San Miguel Achiutla Mixtec	dialect	magd1235	Western Alta			Western Alta		achi	mixteco central	tu’un savi	[tũʔũ saβi]												SanMiguelAchiutlaMixtec	san miguel achiutla	
adeq11	Santa Catarina Adequez	Santa Catarina Adéquez	Mixtec	Northeastern Alta	Asunción Nochixtlán	Oaxaca	17.43688	-97.14695									Northeastern Alta		adeq	mixteco del este	tu’un davi	[tũʔũ ðaβi]												SantaCatarinaAdequezMixtec	santa catarina adequez	
ahue11	San Miguel Ahuehuetitlán		Mixtec	Western Baja	San Miguel Ahuehuetitlán	Oaxaca	17.67151	-98.32045	mks	sila1250							Western Baja		ahue	mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]	S. Miguel Ahuehuetitla?n	79	dialect	Silacayoapan								SanMiguelAhuehuetitlanMixtec	san miguel ahuehuetitlan	
alac11	Alacatlatzala		Mixtec	Guerrero	Malinaltepec	Guerrero	17.25	-98.58	mim	alac1244	Alacatlatzala Mixtec	language		Guerrero	17.4944	-98.4674	Guerrero		alac	mixteco de Guerrero central alto	tno̱’on sávi̱	[tnõʔõ saβi˨]					Alacatlatzala	mixn	mxl	1725	-9858		mtree lat and long better	AlacatlatzalaMixtec	alacatlatzala	
alco11	Alcozáuca de Guerrero		Mixtec	Guerrero	Alcozáuca de Guerrero	Guerrero	17.3687	-98.3969	xta	alco1235	Alcozauca Mixtec	language		Guerrero	17.3687	-98.3969	Guerrero		alco	mixteco de Guerrero del noreste central	tu’un savi	[tũʔũ saβi]												AlcozaucaGuerreroMixtec	alcozauca de guerrero	
amat11	San Miguel Amatitlán		Mixtec	Central Baja	San Miguel Amatitlán	Oaxaca	17.89179	-98.02529									Central Baja		amat	mixteco del noroeste	tu’un savi	[tũʔũ saβi]												SanMiguelAmatitlanMixtec	san miguel amatitlan	
amol11	Santiago Amoltepec		Mixtec	NotAssigned	Santiago Amoltepec	Oaxaca	16.6521	-97.4518	mbz	amol1236	Amoltepec Mixtec	language		Amoltepec	16.6521	-97.4518				mixteco de Santiago Amoltepec	tnu'u ñuu savi	[tnũʔũ nũʔũ saβi]	Amoltepec	52	language									SantiagoAmoltepecMixtec	santiago amoltepec	
amol12	San Cristóbal Amoltepec		Mixtec	Western Alta	San Cristóbal Amoltepec	Oaxaca	17.28458	-97.5706	xtm	sanc1244	San Cristóbal Amoltepec Mixtec	dialect	magd1235	Western Alta						mixteco central	tu’un savi	[tũʔũ saβi]												SanCristobalAmoltepecMixtec	san cristobal amoltepec	
apas11	Santa María Apazco	Santa María Apasco	Mixtec	Northeastern Alta	Santa María Apazco	Oaxaca	17.6143	-97.0657	mip	apas1235	Apasco-Apoala Mixtec	language		Northeastern Alta	17.6143	-97.0657	Northeastern Alta	Apoala	apas	mixteco del noreste	da’an davi	[ðãʔã ðaβi]												SantaMariaApazcoMixtec	santa maria apasco	
apoa11	Santiago Apoala		Mixtec	Northeastern Alta	Santiago Apoala	Oaxaca	17.6143	-97.0657	mip	apas1235	Apasco-Apoala Mixtec	language		Northeastern Alta	17.6143	-97.0657	Northeastern Alta		apoa	mixteco del noreste	da’an davi	[ðãʔã ðaβi]	Apoala	26	language									SantiagoApoalaMixtec	santiago apoala	
asun11	Santa María Asunción		Mixtec	Southern Baja	Santiago Juxtlahuaca	Oaxaca	17.2435	-98.0001												mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]												SantaMariaAsuncionMixtec	santa maria asuncion	
atat11	San Esteban Atatlahuca		Mixtec	Western Alta	San Esteban Atatlahuca	Oaxaca	17.07133	-97.67753	mib	atat1238	Atatláhuca Mixtec	language		Western Alta	17.07133	-97.67753	Western Alta		atat	mixteco del sur medio	tu’un savi	[tũʔũ saβi]	S. Esteban Atatlahuca	68	language		Atatlahuca	cut, cux	mxa	1700	-9775		gl lat and long better	SanEstebanAtatlahucaMixtec	san esteban atatlahuca	
aten11	San Agustín Atenango		Mixtec	Southern Baja	San Agustín Atenango	Oaxaca	17.61188	-98.01527									Central Baja		aten	mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]	Atenango	80	dialect	Silacayoapan								SanAgustinAtenangoMixtec	san agustin atenango	
atla11	Atlamajalcingo del Monte		Mixtec	Guerrero	Atlamajalcingo del Monte	Guerrero	17.31173	-98.60758	mim	atla1271	Atlamajalcingo del Monte	dialect	alac1244	Guerrero						mixteco de Atlamajalcingo	tu’un savi	[tũʔũ saβi]												AtlamajalcingoMonteMixtec	atlamajalcingo del monte	
atoy11	San Pedro Atoyac		Mixtec	Coast	San Pedro Atoyac	Oaxaca	16.48865	-97.9864									Coast	West	atoy	mixteco de Oaxaca de costa central baja	tu’un savi	[tũʔũ saβi]	Atoyac	80	dialect	Jicaltepec								SanPedroAtoyacMixtec	san pedro atoyac	
ayut11	Ayutla de los Libres		Mixtec	Southern Baja	Ayutla de los Libres	Guerrero	16.8833	-98.9916	miy	ayut1236	Ayutla Mixtec	language		Southern Baja	16.8833	-98.9916	Southern Baja			mixteco de Ayutla	tu’un savi	[tũʔũ saβi]	Ayutla		language		Ayutla	mim	mxt	1692	-9917		gl lat and long better	AyutlalosLibresMixtec	ayutla de los libres	
bate11	La Batea		Mixtec	Mixtepec	San Juan Mixtepec	Oaxaca	17.35948	-97.83233	mix	mixt1425										mixteco de oeste central	sa'an ntavi	[sãʔã ndaβi]												LaBateaMixtec	la batea	
brav11	Santa Cruz de Bravo		Mixtec	Guerrero	Santa Cruz de Bravo	Oaxaca	17.58093	-98.22383									Guerrero		cruz															SantaCruzBravoMixtec	santa cruz de bravo	
caca11	Santiago Cacaloxtepec		Mixtec	Tezoatlan	Santiago Cacaloxtepec	Oaxaca	17.7248	-97.7637	miu	caca1250	Cacaloxtepec Mixtec	language		Northern Baja	17.7248	-97.7637	Tezoatlan		cac	mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]	Cacaloxtepec	59	language									SantiagoCacaloxtepecMixtec	santiago cacaloxtepec	
cahu11	Cahuatache	Cahuatachi	Mixtec	Guerrero	Xalpatláhuac	Guerrero	17.41506	-98.53192	mim	alac1244							Guerrero		cah	mixteco de Guerrero central alto	tno̱’on sávi̱	[tnõʔõ saβi˨]	Cahuatache, Gro.	76	dialect	Silacayoapan								CahuatacheMixtec	cahuatachi	
chal11	Chalcatongo de Hidalgo		Mixtec	Western Alta	Chalcatongo de Hidalgo	Oaxaca	17.03226	-97.57074	mig	sanm1296	San Miguel Chalcatongo	dialect	sanm1295	Western Alta			Western Alta		chal	mixteco del sur bajo	sahin sau	[sahin sau]	Chalcatongo	85	dialect	Yosondu?a	Chalcatongo	mib	mxc	1705	-9758	it is a dialect of Mixteco (San Miguel el Grande) in Ethnologue	gl lat and long better	ChalcatongoHidalgoMixtec	chalcatongo de hidalgo	
chay11	San Agustín Chayuco		Mixtec	Coast	San Agustín Chayuco	Oaxaca	16.42	-97.83	mih	chay1249	Chayuco Mixtec	language		Coast (East)	16.3158	-97.8114	Coast	East	chay, chayc, chayd	mixteco de Oaxaca de la costa central	tu’un savi	[tũʔũ saβi]	Chayuco	85	dialect	Cristo?bal	Chayuco	miy	mxu	1642	-9783		mtree lat and long better	SanAgustinChayucoMixtec	san agustin chayuco	
chay12	San Pedro Chayuco		Mixtec	Southern Baja	Santiago Juxtlahuaca	Oaxaca	17.21534	-97.99416									Southern Baja		chap	mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]												SanPedroChayucoMixtec	san pedro chayuco	
chaz11	Santiago Chazumba		Mixtec	Northern Baja	Santiago Chazumba	Oaxaca	18.1541	-97.7873	xtb	chaz1235	Chazumba Mixtec	language		Northern Baja	18.1541	-97.7873	Northern Baja		chaz	mixteco de la frontera Puebla-Oaxaca	da’an davi	[ðãʔã ðaβi]	Stgo. Chazumba	53	language									SantiagoChazumbaMixtec	santiago chazumba	
