Index,Verb,VerbClass,Spanish,Example,Verb.IMPF,Verb.PFV,Rest2
1,chirndaa na,v.t.,"poner, pegar (en una superficie, complemento plural)",Ni chirndaa na na'áná na ndika ve'e na. Él puso sus fotografías en la pared de su casa.,chírndaa na,ni chirndaa na,Var. chindaa na Véase chinda'a na
2,chirnee na,y.t.,"1. poner, meter (de forma horizontal)",Ni chirnee na tiñoó kado ri noo mákina. Pusieron pollos en la máquina para rostizarlos. 2. enchufar 3. tender (ropa) Ni chirnee na dá'on ná noo yó!'o káa karkuei ña nayaa ña. Ella tendió la ropa en el mecate para que se seque. 4. comprometerse (fig.) Ni chirnee na mií ná noo chóon. Ellos se comprometieron a realizar el trabajo.,chírnee na,ni chirnee na,"Var. chinee na, chernee na, chiranee na"
3,chitó'on na,v.t.,"partir, mochar (en dos)",Deén nda'o machití na; iin ni chitó'on va na iin títo. Su machete tiene mucho filo; de un tajo partió en dos un leño.,chító'on na,ni chitó'on na,
4,chituu na,y.t.,"detener, parar (una actividad o un movimiento)","Ni chituu ki'o ndodó ná hizo lo indebido. Comp. de ki'o na, ndeé iní","xí!o ndeé iní na, xío ndeé iní na",ni xi'o ndeéi ní na,Var. ke'e ndeé iní na
5,kito ndodó ná,y.t.,NA,alquilar (a otra persona),xíto ndodó ná,ni xi'o ndodó ná,Sinón. dikó ndodó na
6,kito oon na,y.t.,"dar (gratis), regalar","Comp. de ki'o na, oon",xí!o oon na,ni xi'o oon na,Sinón. dasá ná
7,kito tóo na,v.t.,prestar (lit. dar por un rato),"Ki'o tóo ní planchá ná ni'ií. Que me preste la plancha. Comp. de ki'o na, tóó",xílo tóo na,ni xi'o tóo na,Sinón. tei tóo na
8,ko chóon kuu na ña,y.t.,NA,NA,NA,NA,"no ocupar, no emplear Ko chóon ka sá kuu na dita tikásá. Nda kochí va seí ña. Ya no ocupan las tortillas secas. Se las dan a los marranos. Solamente se usa en el tiempo presente. Comp. de ko, choon, kuu na Var. koó choon kuu na ña Antón. ió choon kuu na ña"
9,kodo ndúta ná,v.i.,"recibir (el bautismo), ser bautizado","Ni sodo ndúta xi noó ta duti. Fue bautizado por el cura. Comp. de kodó ná, ndúta",sódo ndúta ná,ni sodo ndúta ná,
10,kodo tá'an na,v.i.,"amontonarse (unos sobre otros, jugando)","Ni sodo tá'an takuálí sata iin taló!o, ta kúú dión sádikí xi ndúchi, kaá xi. Los niños se amontonaron sobre un niño y según ellos así es el juego de frijol. Comp. de kodó ná, tá!an;",sódo tálan na,ni sodo tá'an na,
11,ko íin kachian nda'í na,v.i.,NA,NA,NA,NA,"no tener apoyo (de nadie, lit. nadie va a decir “pobre de él”) Ná ko'o chindeéá na, dá chi ko íin kachian nda'í na. Vamos a ayudarle a él porque no tiene apoyo de nadie. Comp. de ko íin, kachi na, nda'í"
12,kokó ná,y.t.,NA,"tragar (saliva, pastilla)",kókó ná,ni kokó ná,
13,ko máni,v.i.,NA,NA,NA,NA,"no haber mucha venta Ko máni ka yúu viti, chi kátoó cháá ka na kolchón. Ya no hay venta de petate como antes porque prefieren más el colchón. Deriv. de ko"
